Episode,Reward,Time(s),Steps,Collisions,Epsilon
190,-25,1.83,45,8,0.386
191,41,1.12,29,3,0.384
192,35,1.02,25,4,0.382
193,19,0.95,21,6,0.38
194,33,1.39,37,3,0.378
195,31,1.76,49,2,0.376
196,-7,1.22,27,8,0.374
197,65,0.91,25,1,0.373
198,59,1.12,31,1,0.371
199,51,1.08,29,2,0.369
200,27,1.29,33,4,0.367
201,23,1.12,27,5,0.365
202,11,1.22,29,6,0.363
203,49,1.15,31,2,0.361
204,61,0.74,19,2,0.36
205,79,0.75,21,0,0.358
206,55,0.95,25,2,0.356
207,33,1.08,27,4,0.354
208,65,0.91,25,1,0.353
209,15,1.08,25,6,0.351
210,31,1.15,29,4,0.349
211,33,1.39,37,3,0.347
212,73,0.64,17,1,0.346
213,-15,1.19,25,9,0.344
214,61,0.75,19,2,0.342
215,51,0.78,19,3,0.34
216,29,0.91,21,5,0.339
217,69,0.78,21,1,0.337
218,61,0.74,19,2,0.335
219,57,0.88,23,2,0.334
220,9,1.29,31,6,0.332
221,77,0.81,23,0,0.33
222,69,0.78,21,1,0.329
223,27,0.99,23,5,0.327
224,49,0.85,21,3,0.325
225,51,0.78,19,3,0.324
226,77,0.81,23,0,0.322
227,53,0.71,17,3,0.321
228,65,0.92,25,1,0.319
229,33,1.09,27,4,0.317
230,75,0.88,25,0,0.316
231,23,1.12,27,5,0.314
232,13,1.46,37,5,0.313
233,-27,1.28,27,10,0.311
234,-57,1.69,37,12,0.309
235,83,0.61,17,0,0.308
236,35,1.32,35,3,0.306
237,57,0.88,23,2,0.305
238,69,0.78,21,1,0.303
239,17,1.02,23,6,0.302
240,69,1.08,31,0,0.3
241,25,1.05,25,5,0.299
242,69,0.78,21,1,0.297
243,37,0.95,23,4,0.296
244,81,0.68,19,0,0.294
245,19,0.95,21,6,0.293
246,17,1.33,33,5,0.291
247,71,0.71,19,1,0.29
248,67,0.85,23,1,0.288
249,71,0.71,19,1,0.287
250,59,0.81,21,2,0.286
251,77,0.81,23,0,0.284
252,23,0.81,17,6,0.283
253,59,1.12,31,1,0.281
254,11,1.22,29,6,0.28
255,79,0.75,21,0,0.279
256,63,0.68,17,2,0.277
257,67,0.85,23,1,0.276
258,43,1.05,27,3,0.274
259,77,0.81,23,0,0.273
260,33,1.09,27,4,0.272
261,69,0.78,21,1,0.27
262,71,0.71,19,1,0.269
263,77,0.82,23,0,0.268
264,73,0.64,17,1,0.266
265,71,0.71,19,1,0.265
266,39,0.88,21,4,0.264
267,77,0.82,23,0,0.262
268,19,0.95,21,6,0.261
269,79,0.75,21,0,0.26
270,71,0.71,19,1,0.258
271,51,0.78,19,3,0.257
272,65,0.91,25,1,0.256
273,83,0.61,17,0,0.255
274,59,1.12,31,1,0.253
275,83,0.61,17,0,0.252
276,25,1.05,25,5,0.251
277,-19,1.02,19,10,0.249
278,53,1.02,27,2,0.248
279,5,1.12,25,7,0.247
280,47,0.92,23,3,0.246
281,-11,1.05,21,9,0.245
282,65,0.92,25,1,0.243
283,71,1.02,29,0,0.242
284,57,0.88,23,2,0.241
285,15,1.08,25,6,0.24
286,59,0.81,21,2,0.238
287,25,1.05,25,5,0.237
288,7,1.05,23,7,0.236
289,31,1.15,29,4,0.235
290,81,0.68,19,0,0.234
291,33,1.09,27,4,0.233
292,63,0.68,17,2,0.231
293,77,0.82,23,0,0.23
294,37,0.95,23,4,0.229
295,45,0.98,25,3,0.228
296,71,0.71,19,1,0.227
297,21,0.88,19,6,0.226
298,39,0.88,21,4,0.225
299,73,0.64,17,1,0.223
300,71,0.71,19,1,0.222
